id,obra,año,descripcion_01,descripcion_02,objetos
0,10 de marzo de 1982,,"Acción corporal realizada con una red de vísceras humanas tejida de antemano - con la que atrapamos al público desprevenido - , pues se anudó simultáneamente de pared a pared luego de desempacarla de una bolsa larga de plástico negro. En la performance hurgo con la historia anónima hecha forma conectándome a una performer asistente a través de una especie de vestido infinito convertido en cordón umbilical de longitud exacta a la malla en vísceras. El traje utilizado lo diseñé con plástico y bolsas selladas contenidas de material orgánico humano.","mujer arafada de pie en una habitación con una cuerda y una bolsa
hay una mujer que está de pie en una habitación con un perro
Hay un hombre que está de pie en una escalera con una bolsa
Hay un hombre de pie en una habitación con un barco en el suelo
dos mujeres están de pie en una habitación con una sábana en el suelo","['cuerpo arrastrado', 'cuerpo en el suelo', 'cuerpo herido', 'piso', 'cuerpo abandonado']
['cuerpo en el suelo', 'cuerpo herido', 'cuerpo arrastrado', 'cuerpo abandonado', 'cuerpo abandonado']
['tejido', 'tela', 'cuerpo de pie', 'manos', 'cuerpo transportado']
['cuerpo arrastrado', 'cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo en el suelo']
['tejido', 'tela', 'piso', 'cuerpo acostado', 'cuerpo herido']"
1,12 de marzo de 1982,1982,"Interior de la galería, ahogado con cortinas hechas de periódico del mismo día (12 de marzo de 1982). El suelo, también estaba alfombrado con una colcha de papel y encima de ésta había periódicos dispersos, apilados y teñidos en sangre. El acceso a esta calurosa placenta de desinformación sólo era posible levantando levemente una de las cortinas, por una de las esquinas.","personas de pie en una habitación con periódico que cubre las paredes
hombre arafed caminando junto a una pared cubierta por los periódicos
periódicos con un recorte de periódico con una foto de una casa
hombre arafed de pie en una patineta delante de una pared cubierta por los periódicos
arafed foto en blanco y negro de dos personas en una escalera en una habitación
baño arafed con periódico que cubre las paredes y el suelo
hombre arafed arrodillado en el suelo en una habitación con periódico que cubre las paredes
sala de arafed con las paredes de la cubierta del periódico y el inodoro
habitación arafed con paredes de papel pintado y suelo y techo
un primer plano de un periódico con un montón de suciedad en él
sala de arafed con las paredes de la cubierta del periódico y el inodoro
habitación arafed con una pared cubierta de periódicos y un ventilador de techo
habitación arafed con paredes de papel pintado y suelo y techo","['espacio interior', 'papel', 'habitación', 'espacio público', 'habitación vacía']
['papel', 'tejido', 'tela', 'espacio urbano', 'piso']
['papel', 'tejido', 'tela', 'pared', 'piso']
['papel', 'tejido', 'espacio interior', 'habitación vacía', 'piso']
['espacio interior', 'espacio urbano', 'habitación vacía', 'habitación', 'piso']
['papel', 'cuerpo abandonado', 'cuerpo abandonado', 'espacio interior', 'piso']
['papel', 'espacio público', 'espacio interior', 'espacio urbano', 'habitación']
['espacio interior', 'papel', 'habitación', 'habitación vacía', 'piso']
['espacio interior', 'piso', 'habitación vacía', 'lugar abandonado', 'cuerpo abandonado']
['cuerpo herido', 'cuerpo acostado', 'cuerpo lesionado', 'cuerpo abandonado', 'cuerpo abandonado']
['espacio interior', 'habitación vacía', 'habitación', 'papel', 'piso']
['espacio interior', 'papel', 'habitación', 'habitación vacía', 'espacio urbano']
['espacio interior', 'habitación vacía', 'papel', 'lugar abandonado', 'piso']"
2,Acciones individuales,1983,"Dieciséis maneras de suicidarme escritas con cabello de cadáver humano sobre las paredes y el piso de una de las salas del museo, la condición para el público era ingresar descalzo.","hay un hombre de pie en una habitación con una pared y una mesa
hombre arafed escribiendo en una pared con un gran pedazo de papel
imagen arafed de un hombre de pie delante de una pared con la escritura en ella
fotografía arafed de una persona arrodillada delante de una pared con la escritura en ella
hay un libro con la escritura en él sentado en una mesa
hay una foto en blanco y negro de una pared con la escritura en ella
un primer plano de un pedazo de papel con la escritura en él
imagen arafed de una mujer de pie delante de una pared con la escritura en ella
un primer plano de una escritura en una pared con un reloj
hay una gran pieza de escritura en la pared de una habitación","['espacio interior', 'cuerpo de pie', 'papel', 'espacio público', 'tejido']
['pared', 'papel', 'tejido', 'tela', 'piso']
['papel', 'tejido', 'tela', 'piso', 'mujer']
['papel', 'piso', 'espacio interior', 'tejido', 'habitación']
['papel', 'cuerpo acostado', 'tela', 'tejido', 'espacio interior']
['papel', 'tejido', 'tela', 'mano', 'persona']
['papel', 'tela', 'tejido', 'piso', 'persona']
['papel', 'habitación vacía', 'tejido', 'tela', 'pared']
['mano', 'papel', 'persona', 'manos', 'cuerpo arrastrado']
['papel', 'tejido', 'piso', 'cuerpo acostado', 'habitación']"
3,Caquetá,1984,"Performance hecha en una plaza pública con sobrantes de madera amazónica entorchados con gasa, colocados a manera de camino quiebrapatas y escupitadas después con enjuagues de sangre.","hombre de araffe en camisa blanca sosteniendo un montón de zanahorias en frente de una multitud
hombre araffe en camisa blanca sosteniendo una bolsa de comida en frente de una multitud
hay un líquido rojo que está siendo vertido en un corazón
araffes comiendo comida de un plato delante de una multitud
araffes un hombre está sosteniendo una cámara y tomando una foto de un hombre
araffe en el suelo con sangre en él y la gente de pie alrededor
arafed hombre sosteniendo un bate de béisbol en frente de una multitud de personas
arafed hombre sosteniendo a un bebé en sus brazos mientras se sienta en una silla
hombre arafed en camisa blanca y pantalones blancos sosteniendo un manojo de flores
hombre arafed en camisa blanca sosteniendo una bolsa negra con la gente en el fondo
van araffatured cubierto con envoltura de plástico en una calle de la ciudad
camión arafed con un hombre en una camisa blanca y un grupo de personas
hay un coche cubierto de plástico en la calle
grupo arafed de personas de pie en una acera con palos blancos largos
las araffes están sentadas en el suelo con las piernas cruzadas
hombre arafed empujando una camilla con un bebé en ella
araffes en un coche con una sábana sobre la cabeza
gente de pie alrededor de un hombre con una bolsa de equipaje
gente viendo a un hombre tirado en una cama frente a una multitud
hay una bolsa púrpura con un mango rojo en una mesa
Hay un hombre empujando un carro con una cama en él
hay muchos palos de madera que están sentados juntos
hay una foto de un hombre sosteniendo un gato en una camisa
un acercamiento de una persona que sostiene una foto de una persona
hombre de araffe en traje blanco sosteniendo una bolsa de sangre
sangre arafeada en el suelo con gente de pie alrededor
hay una foto en blanco y negro de un pedazo de papel con un dibujo de un oso de peluche
araffes de pie en el barro con sus pies cubiertos de barro
hay muchos palitos rojos de comida que se están cocinando
gente de pie alrededor de una larga línea de tuberías blancas en un camino de ladrillo
hay dos pies en un charco de líquido rojo
hombre araffe en traje blanco y pintura roja en su cara caminando delante de una multitud
hay un guante rojo en la pierna de una persona
manchas de sangre en un pedazo de papel con una regla","['cuerpo transportado', 'cadáver', 'cadáver', 'cuerpo lesionado', 'cuerpo herido']
['mancha de sangre', 'sangrado del cuerpo', 'cuerpo lesionado', 'suciedad', 'cuerpo herido']
['sangrado del cuerpo', 'mancha de sangre', 'materia orgánica', 'cuerpo lesionado', 'cuerpo herido']
['multitud', 'manos', 'grupo de personas', 'contacto físico', 'interacción']
['cuerpo lesionado', 'cuerpo transportado', 'multitud', 'grupo de personas', 'interacción']
['sangrado del cuerpo', 'mancha de sangre', 'cuerpo herido', 'cuerpo lesionado', 'sangre']
['mancha de sangre', 'multitud', 'tela', 'cuerpo lesionado', 'sangrado del cuerpo']
['cuerpo transportado', 'cuerpo herido', 'sangrado del cuerpo', 'cuerpo lesionado', 'cadáver']
['cuerpo transportado', 'cuerpo de pie', 'mancha', 'hombre', 'contacto físico']
['cuerpo transportado', 'cuerpo lesionado', 'cabeza', 'materia orgánica', 'cuerpo herido']
['espacio público', 'cuerpo en el suelo', 'tela', 'espacio urbano', 'calle']
['cuerpo lesionado', 'cuerpo acostado', 'cuerpo abandonado', 'cuerpo abandonado', 'grupo de personas']
['cuerpo acostado', 'cuerpo transportado', 'cuerpo sucio', 'cuerpo abandonado', 'cuerpo abandonado']
['cadáver', 'cadáver', 'cuerpo en el suelo', 'cuerpo inmóvil', 'cuerpo acostado']
['cuerpo lesionado', 'cuerpo herido', 'cadáver', 'cadáver', 'sangrado del cuerpo']
['cuerpo transportado', 'cuerpo lesionado', 'cadáver', 'cadáver', 'grupo de personas']
['multitud', 'grupo de personas', 'tela', 'cuerpo transportado', 'cuerpo lesionado']
['cuerpo transportado', 'cuerpo lesionado', 'cadáver', 'cadáver', 'cuerpo herido']
['cadáver', 'cadáver', 'cuerpo herido', 'cuerpo lesionado', 'cuerpo acostado']
['cuerpo lesionado', 'cuerpo herido', 'cuerpo arrastrado', 'cuerpo transportado', 'plástico']
['cuerpo lesionado', 'cuerpo herido', 'cuerpo acostado', 'cadáver', 'cadáver']
['cuerpo arrastrado', 'herida', 'materia orgánica', 'cuerpo herido', 'mancha de sangre']
['tela', 'cuerpo transportado', 'cuerpo herido', 'tejido', 'herida']
['tela', 'tejido', 'sangre', 'mancha', 'cuerpo transportado']
['sangrado del cuerpo', 'mancha de sangre', 'cuerpo herido', 'sangre', 'mancha']
['sangrado del cuerpo', 'mancha de sangre', 'cuerpo herido', 'cuerpo lesionado', 'sangre']
['cuerpo lesionado', 'cuerpo herido', 'materia orgánica', 'mancha de sangre', 'mancha']
['manos', 'cuerpo arrastrado', 'pies', 'mano', 'cuerpo abandonado']
['sangrado del cuerpo', 'cuerpo herido', 'cuerpo lesionado', 'mancha de sangre', 'sangre']
['cadáver', 'cadáver', 'cuerpo en el suelo', 'cuerpo lesionado', 'cuerpo acostado']
['sangrado del cuerpo', 'mancha de sangre', 'cuerpo herido', 'sangre', 'cuerpo lesionado']
['mancha de sangre', 'cuerpo de pie', 'sangrado del cuerpo', 'multitud', 'cuerpo lesionado']
['sangrado del cuerpo', 'cuerpo herido', 'cuerpo lesionado', 'mancha de sangre', 'herida']
['mancha de sangre', 'cuerpo herido', 'cuerpo lesionado', 'sangrado del cuerpo', 'mancha']"
4,Síntoma,1984,"Mi acción corporal inicia horas antes con el robo de una lengua a un cadáver de un preso político encontrado en la morgue de Guayaquil, Ecuador. Luego, a las 7 pm, hora acordada para la performance, ingreso al Museo Antropológico y Pinacoteca de allí ataviado con un traje impecable de plástico y gasa y saco de mi bolsillo la lengua envuelta en gasa, que impregno una y otra vez de sangre humana vencida donada por la Cruz Roja Ecuatoriana y escribo con fuerza y ansiedad sobre cada una de las paredes de la sala: desaparición, temor, violación, masacre, asesinato, dolor, hambre y corrupción, una palabra encima de otra a manera de palimpsesto. Quedando como documento de la performance coágulos fétidos de sangre, lengua y gasa disueltos en las paredes y el piso del museo.","graffiti en una pared con una foto en blanco y negro de una palabra
arafed fotografía en blanco y negro de una mujer con un vestido blanco
hombre arafed en camisa blanca pintura en la pared con pintura blanca
Hay un hombre que se está lavando las manos en el baño.
hombre arafed de pie delante de una pared con una señal que dice buenas noticias
hombre arafed en traje blanco caminando en una habitación con graffiti en la pared
hombre arafed pintando una pared con una gran cantidad de graffiti
arafed hombre de pie en una habitación con una pared que tiene graffiti en ella
habitación arafed con una cámara y un trípode en ella
hay una botella de alcohol y una botella de medicina en una bolsa
hay dos pedazos de papel en el suelo en una habitación
mujer arafed en un vestido blanco pintar una pared con un gran par de tijeras
hombre arafed en una camisa blanca y pantalones blancos pintando una pared con un gran par de tijeras
hombre arafed pintando una pared con una hoja blanca de plástico
hay un hombre que está pintando una pared con un pincel
hombre arafed parado delante de una pared con graffiti en ella
graffiti en una pared con un hombre de pie delante de ella
hombre arafed en un vestido blanco de pie en una habitación con graffiti en las paredes","['cadáver', 'piso', 'basura', 'espacio urbano', 'tela']
['tela', 'tejido', 'cuerpo de pie', 'cuerpo cubierto', 'cuerpo envuelto']
['sangrado del cuerpo', 'cuerpo herido', 'mancha', 'tejido', 'mancha de sangre']
['manos', 'tela', 'tejido', 'mano', 'cuerpo cubierto']
['espacio público', 'tejido', 'habitación vacía', 'espacio urbano', 'espacio interior']
['habitación vacía', 'cadáver', 'espacio público', 'basura', 'cuerpo arrastrado']
['interacción', 'tejido', 'pared', 'mancha', 'sangrado del cuerpo']
['espacio interior', 'habitación vacía', 'cadáver', 'espacio público', 'espacio urbano']
['habitación vacía', 'espacio interior', 'cuerpo de pie', 'habitación', 'piso']
['cuerpo arrastrado', 'cuerpo transportado', 'espacio interior', 'plástico', 'tejido']
['espacio interior', 'habitación vacía', 'piso', 'espacio urbano', 'espacio público']
['tela', 'tejido', 'cuerpo de pie', 'mujer', 'habitación vacía']
['tejido', 'mancha', 'espacio urbano', 'tela', 'habitación']
['tejido', 'tela', 'mujer', 'pared', 'cuerpo cubierto']
['habitación vacía', 'cuerpo de pie', 'cuerpo inmóvil', 'habitación', 'interacción']
['habitación', 'habitación vacía', 'espacio interior', 'piso', 'cuerpo abandonado']
['cadáver', 'espacio público', 'espacio urbano', 'tejido', 'papel']
['cuerpo abandonado', 'cuerpo abandonado', 'mancha', 'habitación vacía', 'tejido']"
5,Bolívar Ahora,1985,"Performance
Plaza de Bolívar. Bogotá,
Colombia.

Durante siete minutos de la tarde del Viernes 1 ° de Marzo
de1985 (seis meses antes de la toma del Palacio de Justicia), es-
cupí de manera chamánica, obsesiva y vigorosa sobre el Bolívar
de bronce de Tenerani ubicado en la Plaza de Bolívar de Bogo-
tá-Colombia. Esta acción suicida la realicé con sangre humana
vencida de la Cruz Roja recogida en bolsas transparentes anu-
dadas en las esquinas y remarcadas con autoadhesivos impresos
de lugares en conflicto de nuestro país como: Cauca, Caquetá,
Meta, Choco, Magdalena, Antioquia y Valle del cauca.
Este operativo político tuvo de antemano una gran línea blanca
de papel adherida al suelo de la plaza, conectando a Bolívar
por el norte con el antiguo Palacio de justicia y por el sur con
el Capitolio Nacional. Sobre esta línea blanca me desplacé,
dejando en mi recorrido muchas bolsas transparentes anudadas
contenidas de sangre. Luego subiéndome a su pedestal en una
escalera forrada en gaza y esparadrapo y ataviado con un traje
de plástico blanco diseñado para la performance, rasgué una
bolsa con mis dientes y lo escupí una y otra vez. Esos minutos
de la hora gris estuvieron acompañados de un puñado de
amigos y amigas, masacrados tiempo después, algunos policías
y soldados que no alcanzaron a digerir lo que sucedió, sino
hasta cuando desaparezco de la escena real y de un personaje
muy especial, el fotógrafo popular anónimo que me donó de
manera desinteresada este registro fotográfico único.","hay un hombre en un traje blanco doblando sobre el suelo
hay un hombre en pantalones blancos y una camisa blanca con sangre en la cara
Hay un hombre que está de pie en una cama con una botella
Hay un hombre que está de pie en una cornisa con una bolsa
Hay un hombre que está de pie en una cornisa con sangre en ella
hombre arafed en camisa blanca y pantalones blancos con sangre en la pierna
hay muchos proyectiles de bala en el suelo en la oscuridad
hombre arafed en camisa blanca y pantalones con sangre en su cuerpo","['piso', 'tejido', 'cuerpo en el suelo', 'cuerpo herido', 'cuerpo lesionado']
['cuerpo en el suelo', 'cuerpo herido', 'cuerpo lesionado', 'piso', 'sangrado del cuerpo']
['piso', 'tejido', 'tela', 'cuerpo en el suelo', 'mancha de sangre']
['cuerpo herido', 'cuerpo arrastrado', 'cadáver', 'sangrado del cuerpo', 'cadáver']
['cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo lesionado', 'cuerpo arrastrado']
['sangrado del cuerpo', 'mancha de sangre', 'cuerpo herido', 'cuerpo lesionado', 'sangre']
['cuerpo en el suelo', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo lesionado', 'cadáver']
['mancha de sangre', 'sangrado del cuerpo', 'cuerpo herido', 'cuerpo lesionado', 'cuerpo abandonado']"
6,Yagé,1992,"Autoflagelación realizada primero con un vidrio y luego con un crucifijo al que le ensamblo un bisturí para cirugía. Tanto en la primera versión, como en la segunda, es decir la del crucifijo, retomo de manera suicida un ritual tan sagrado como el del Yagé. Pues en ambas performances me lacero cerca del estómago, leo un texto de Cortázar y recojo sangre con mi mano, para tomármela después.","hay un vestido negro colgando en una percha en una habitación
hay una jarra blanca y un martillo en la mesa
hay una jarra blanca sentada en una mesa con un cuchillo y un tazón
Hay un hombre inclinándose para recoger un frisbee
Hay un hombre de pie en un círculo de fuego sosteniendo un libro
Hay un hombre inclinándose para recoger un frisbee
hay un hombre con una camisa negra sosteniendo un libro
Hay un hombre en la arena sosteniendo un cuchillo.
Hay un chico joven de pie en un círculo de sangre
Hay un hombre de pie en un campo con una bolsa de basura
alguien sosteniendo un pedazo de papel con una foto de un hombre en él
araffe en un vestido negro sosteniendo un pedazo de papel en un círculo","['tela', 'cuerpo arrastrado', 'cuerpo herido', 'cuerpo de pie', 'tejido']
['cuerpo herido', 'mancha de sangre', 'cuerpo lesionado', 'cadáver', 'cadáver']
['cuerpo herido', 'cuerpo lesionado', 'cuerpo abandonado', 'cuerpo abandonado', 'mancha de sangre']
['tierra', 'cuerpo en el suelo', 'suciedad', 'cuerpo de pie', 'barro']
['mujer', 'espacio público', 'materia orgánica', 'cuerpo inmóvil', 'interacción']
['cuerpo en el suelo', 'tierra', 'piso', 'cuerpo de pie', 'cuerpo herido']
['barro', 'sangrado del cuerpo', 'mancha de sangre', 'suciedad', 'cuerpo herido']
['cuerpo herido', 'cuerpo lesionado', 'cuerpo abandonado', 'cuerpo abandonado', 'sangrado del cuerpo']
['sangrado del cuerpo', 'mancha de sangre', 'cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado']
['tierra', 'materia orgánica', 'mujer', 'cuerpo en el suelo', 'espacio público']
['cuerpo herido', 'cabeza', 'materia orgánica', 'cuerpo humano', 'cuerpo lesionado']
['cuerpo herido', 'cuerpo lesionado', 'sangrado del cuerpo', 'cuerpo abandonado', 'cuerpo abandonado']"
7,Baby Street,1998 - 1999,"Baby Street Performance asistida. Es la entrada de un niño gamín al Museo, en donde lo limpio con ayuda de compresas de gasa y alcohol para construirle después con las mismas gasas usadas una especie de friso infinito hecho en mugre, a la altura de sus ojos.","hay un hombre sentado en el suelo en un baño
hay un hombre sentado en una plataforma blanca en una habitación
están sentados en una cornisa y uno sostiene una manta
están sentados en un banco con una patineta en la mano
son dos hombres sentados en una cama con una toalla
Hay un hombre sosteniendo una toalla sobre su cabeza.
son dos hombres sentados en una cama con una hoja de papel
hay un hombre de pie junto a una pared con una camisa y un paraguas
hay dos hombres de pie y sentados en un inodoro en un baño
son dos hombres sentados en el suelo en una habitación","['mancha de sangre', 'cuerpo lesionado', 'cuerpo herido', 'cadáver', 'cadáver']
['piso', 'habitación vacía', 'espacio interior', 'cuerpo abandonado', 'cuerpo abandonado']
['cuerpo lesionado', 'cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado', 'espacio público']
['espacio público', 'cuerpo sentado', 'piso', 'cuerpo transportado', 'pies']
['cuerpo lesionado', 'cuerpo herido', 'lesión', 'mancha de sangre', 'sangrado del cuerpo']
['lesión', 'cuerpo lesionado', 'cuerpo herido', 'sangrado del cuerpo', 'herida']
['cuerpo lesionado', 'cuerpo herido', 'lesión', 'sangrado del cuerpo', 'mancha de sangre']
['tela', 'cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo lesionado']
['tela', 'tejido', 'mancha de sangre', 'papel', 'pared']
['tela', 'mancha de sangre', 'tejido', 'cuerpo herido', 'sangrado del cuerpo']"
8,Mugre,1999,"Performance asistida. Acción hecha con el desplazamiento de un indigente al hombro, desde su lugar de asentamiento hasta una de las salas del Museo de Arte Moderno, en donde utilizándolo como un trapo sucio y sobre mis hombros todavía, voy dibujando con él una línea de dolor y mugre sobre la pared blanca del museo. Enseguida, y colocándolo después sobre una base impecable de madera que hay en el piso, escribo con él de manera enferma, esta vez agarrándolo de los pies y rayando con la espalda del miserable la base blanca. El precedente de ""Mugre"" es una acción de 1980 (Labriego) que está construida a partir de arrastrar el cadáver de un preso político sobre la plaza de Bolívar de Bogotá para que la plaza y el asfalto se lo fueran comiendo a medida que yo lo iba arrastrando. Por razones de seguridad no la he podido hacer y se quedó en mi libreta de proyectos.","hay un hombre sosteniendo un gran animal en sus brazos
hay un hombre llevando un objeto grande en sus brazos
hay una caja blanca con un dibujo negro en ella
hay un hombre sosteniendo un gran objeto negro en sus brazos
hay un hombre con una camisa roja y una corbata negra
Hay un hombre llevando un perro en la espalda.
Hay un hombre llevando un perro en sus brazos
hay un hombre acostado en una cama con una camisa roja
Son dos hombres peleando por un hombre acostado en una cama.
hay un hombre que sostiene un pedazo grande de tela
Hay un hombre que está de pie con su espalda a la pared
son dos hombres en una habitación uno está pintando el otro está pintando
Hay un hombre tirado en el suelo con un hombre de pie sobre él","['cuerpo transportado', 'cuerpo herido', 'cadáver', 'cuerpo abandonado', 'cuerpo abandonado']
['cuerpo transportado', 'cuerpo lesionado', 'cuerpo herido', 'contacto físico', 'sangre']
['tela', 'mancha de sangre', 'papel', 'cuerpo herido', 'mancha']
['cuerpo transportado', 'cuerpo lesionado', 'cuerpo herido', 'cuerpo de pie', 'cuerpo abandonado']
['persona', 'cuerpo lesionado', 'cabeza', 'hombre', 'sangre']
['cuerpo transportado', 'cuerpo herido', 'cuerpo lesionado', 'sangrado del cuerpo', 'cuerpo arrastrado']
['cuerpo lesionado', 'cuerpo herido', 'cuerpo transportado', 'mancha de sangre', 'cadáver']
['cuerpo acostado', 'cuerpo lesionado', 'cuerpo herido', 'cadáver', 'cadáver']
['cuerpo herido', 'cuerpo lesionado', 'sangrado del cuerpo', 'cuerpo acostado', 'cadáver']
['cuerpo herido', 'cuerpo lesionado', 'cuerpo acostado', 'cadáver', 'cadáver']
['cuerpo transportado', 'cuerpo lesionado', 'cuerpo herido', 'sangrado del cuerpo', 'sangre']
['cuerpo lesionado', 'cuerpo herido', 'mancha de sangre', 'cuerpo arrastrado', 'cadáver']
['cuerpo lesionado', 'cuerpo herido', 'cadáver', 'cadáver', 'sangrado del cuerpo']"
9,Morgue,1999,"Performance. Performance hecha en privado en una morgue de Cali con el cuerpo de un obrero anónimo a quien le coloqué en una de sus manos una veladora encendida.
","hay muchas camas en una habitación con cubiertas negras en ellas
alguien está sosteniendo una vela en su mano mientras se acuesta en una cama
Hay un hombre que está de pie en una cocina con una vaca
hay un animal muerto con una vela en una mesa
hay un paño negro que cubre la mesa en la habitación","['cuerpo abandonado', 'cuerpo abandonado', 'cuerpo acostado', 'cadáver', 'cadáver']
['cuerpo herido', 'cadáver', 'cadáver', 'cuerpo lesionado', 'cuerpo acostado']
['cadáver', 'cadáver', 'cuerpo lesionado', 'cuerpo herido', 'cuerpo acostado']
['cuerpo herido', 'cuerpo lesionado', 'cadáver', 'cadáver', 'cuerpo humano']
['cuerpo acostado', 'cuerpo abandonado', 'cuerpo abandonado', 'tela', 'cuerpo herido']"
